X,OriginationTime,TransmissionTime,txSequenceNumber,loggerSequenceNumber,loggedTime,CDLConnectionHealth,ThrottlePosition___,EngineSpeed_rpm_,DesiredEngineSpeed_rpm_,BoostPressure_kPa_,EngineLoadFactor___,FuelConsumptionRate_l_h_,GroundSpeed_mph_,TransmissionOutputSpeed_rpm_,LockupClutchCurrent___,NeutralizeSwitchStatus,DirectionSwitchPositionStatus,RideControlSwitchStatus,TransmissionSwitchStatus,ParkBrakeSwitchStatus,DownShiftSwitchStatus,UpShiftSwitchStatus,LockupClutchEnableSwitchStatus,TorqueConverterSpeed_rpm_,GroundSpeedAndDirection_kph_,ShiftLeverPositionStatus,ActualGearStatus,ReverseSteeringSolenoidStatus,ParkBrakeStatus,ServiceBrakeStatus,AutoRetardModeStatus,AccelerationPedalStatus,FrontServiceBrakeOilPressure_kPa_,RearServiceBrakeOilPressure_kPa_,HydraulicOilTemperature_degC_,FuelGauge___,SystemVoltage_volts_,NewOriginTime,NewTransmissionTime
40125,1162907679.1454,1162907679.1454,9455,0,0,0,65.2,1891.5,1722,42.5,0,0,11,1075,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1848,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,15,32,79,42,28.2,2016-11-11 13:54:58.145400,2016-11-11 13:54:58.145400
40128,1162907681.04581,1162907681.04581,9458,0,0,0,99.6,1983.5,2120,115,100,24.45,11.5,1149,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,2013,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,14,31,79,36,28.2,2016-11-11 13:55:00.045810,2016-11-11 13:55:00.045810
40132,1162907683.60542,1162907683.60542,9462,0,0,0,34.4,1460.5,1142.5,26,0,0,10.5,1011,0,Neutral,Reverse,Auto,Auto 4,Off,Off,Off,On,1805,0,FaultFNRP20,N3,Err-Unknown,Off,Released,Off,Released,875,1085,79,49,28.2,2016-11-11 13:55:02.605420,2016-11-11 13:55:02.605420
40135,1162907685.50571,1162907685.50571,9465,0,0,0,94.4,1899,2120,96.5,100,25.4,8.5,869,80,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1757,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,110,153,79,53,28.2,2016-11-11 13:55:04.505710,2016-11-11 13:55:04.505710
40138,1162907687.40577,1162907687.40578,9468,0,0,0,99.6,1885,2120,123,100,25.65,11,1078,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1889,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,19,33,79,53,28.2,2016-11-11 13:55:06.405770,2016-11-11 13:55:06.405780
40141,1162907689.30593,1162907689.30594,9471,0,0,0,99.6,2020.5,2120,119.5,100,24,11.5,1156,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,2030,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,23,39,79,50,28.2,2016-11-11 13:55:08.305930,2016-11-11 13:55:08.305940
40144,1162907691.20603,1162907691.20603,9474,0,0,0,99.6,2098.5,2120,119,99,22.9,12,1203,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,2110,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Depressed,17,34,79,50,28.2,2016-11-11 13:55:10.206030,2016-11-11 13:55:10.206030
40147,1162907693.14635,1162907693.14635,9477,0,0,0,99.6,1840,2120,116.5,100,26.35,12.5,1237,0,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1226,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,15,30,79,49,28.3,2016-11-11 13:55:12.146350,2016-11-11 13:55:12.146350
40149,1162907694.38622,1162907694.38622,9479,0,0,0,99.6,1834,2120,123,100,26.5,13,1260,0,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1250,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,13,35,79,49,28.2,2016-11-11 13:55:13.386220,2016-11-11 13:55:13.386220
40152,1162907696.28633,1162907696.28633,9482,0,0,0,99.6,1839,2120,119.5,100,26.35,13,1294,0,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1300,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,16,33,79,49,28.2,2016-11-11 13:55:15.286330,2016-11-11 13:55:15.286330
40155,1162907698.18644,1162907698.18644,9485,0,0,0,99.6,1844.5,2120,120,100,26.25,13.5,1335,0,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1318,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,17,34,79,49,28.2,2016-11-11 13:55:17.186440,2016-11-11 13:55:17.186440
40158,1162907700.08662,1162907700.08663,9488,0,0,0,99.6,1853.5,2120,122,100,26.15,13.5,1357,0,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1330,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,21,35,79,49,28.2,2016-11-11 13:55:19.086620,2016-11-11 13:55:19.086630
40162,1162907702.60673,1162907702.60673,9492,0,0,0,99.6,1707.5,2120,123,100,28.25,14,1405,34.2,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1398,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,19,33,79,49,28.2,2016-11-11 13:55:21.606730,2016-11-11 13:55:21.606730
40165,1162907704.50699,1162907704.50699,9495,0,0,0,99.6,1428,2120,115.5,100,34.45,14.5,1445,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1428,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,15,33,79,49,28.1,2016-11-11 13:55:23.506990,2016-11-11 13:55:23.506990
40168,1162907706.44705,1162907706.44705,9498,0,0,0,99.6,1454,2120,113,100,33.75,15,1528,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1418,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,21,33,79,49,28.2,2016-11-11 13:55:25.447050,2016-11-11 13:55:25.447050
40171,1162907708.34724,1162907708.34724,9501,0,0,0,99.6,1470,2120,116.5,100,33.35,15,1499,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1480,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,15,33,79,49,28.1,2016-11-11 13:55:27.347240,2016-11-11 13:55:27.347240
40172,1162907709.00733,1162907709.00734,9502,0,0,0,99.6,1501,2120,115.5,100,32.55,15.5,1510,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1494,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,19,35,79,49,28.1,2016-11-11 13:55:28.007330,2016-11-11 13:55:28.007340
40176,1162907711.56737,1162907711.56737,9506,0,0,0,99.6,1533,2120,117,100,31.85,15.5,1554,55.7,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1540,0,FaultFNRP20,R4,Err-Unknown,Off,Released,Off,Depressed,21,35,79,49,28.2,2016-11-11 13:55:30.567370,2016-11-11 13:55:30.567370
40179,1162907713.46758,1162907713.46758,9509,0,0,0,14.8,984.5,800,30.5,0,0,12.5,1153,0,Neutral,Reverse,Auto,Auto 4,Off,Off,Off,On,862,0,FaultFNRP20,N4,Err-Unknown,Off,Depressed,Off,Released,2619,2850,79,49,28.2,2016-11-11 13:55:32.467580,2016-11-11 13:55:32.467580
40182,1162907715.36801,1162907715.36801,9512,0,0,0,99.6,1857,2120,55,78,25.75,3,288,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,1563,0,FaultFNRP20,F2,Err-Unknown,Off,Depressed,Off,Depressed,474,632,79,41,28.2,2016-11-11 13:55:34.368010,2016-11-11 13:55:34.368010
40185,1162907717.34772,1162907717.34772,9515,0,0,0,99.6,2029.5,2120,119,100,23.75,5,534,80,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1865,0,FaultFNRP20,F2,Err-Unknown,Off,Released,Off,Depressed,33,50,79,42,28.2,2016-11-11 13:55:36.347720,2016-11-11 13:55:36.347720
40188,1162907719.28783,1162907719.28783,9518,0,0,0,99.6,1710.5,2120,122.5,100,28.4,7.5,777,44.2,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1690,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Depressed,30,48,79,44,28.2,2016-11-11 13:55:38.287830,2016-11-11 13:55:38.287830
40191,1162907721.22792,1162907721.22792,9521,0,0,0,97.6,1926.5,2120,118,100,25.4,4.5,306,0,Run,Forward,Auto,Auto 4,Off,On,Off,On,1760,0,FaultFNRP20,F1,Err-Unknown,Off,Released,Off,Depressed,16,38,79,42,28.2,2016-11-11 13:55:40.227920,2016-11-11 13:55:40.227920
40194,1162907723.12812,1162907723.12812,9524,0,0,0,99.6,1500.5,2120,122.5,100,32.55,0,0,0,Run,Forward,Auto,Auto 4,Off,Off,Off,On,154,0,FaultFNRP20,F1,Err-Unknown,Off,Released,Off,Depressed,25,36,79,41,28.2,2016-11-11 13:55:42.128120,2016-11-11 13:55:42.128120
40196,1162907724.36834,1162907724.36834,9526,0,0,0,99.6,1530,2120,112.5,100,31.95,0.5,1,0,Run,Forward,Auto,Auto 4,Off,Off,Off,On,195,0,FaultFNRP20,F1,Err-Unknown,Off,Released,Off,Depressed,12,31,78,42,28.2,2016-11-11 13:55:43.368340,2016-11-11 13:55:43.368340
40199,1162907726.22868,1162907726.22868,9529,0,0,0,99.6,1650,2090,120.5,100,29.45,0.5,0,0,Run,Forward,Auto,Auto 4,Off,Off,Off,On,186,0,FaultFNRP20,F1,Err-Unknown,Off,Released,Off,Depressed,12,31,78,42,28.2,2016-11-11 13:55:45.228680,2016-11-11 13:55:45.228680
40202,1162907728.12853,1162907728.12854,9532,0,0,0,99.6,1541,2088,124.5,100,31.7,0.5,80,0,Run,Forward,Auto,Auto 4,Off,Off,Off,On,471,0,FaultFNRP20,F1,Err-Unknown,Off,Released,Off,Depressed,4,22,78,42,28.2,2016-11-11 13:55:47.128530,2016-11-11 13:55:47.128540
40205,1162907730.02865,1162907730.02866,9535,0,0,0,99.6,1459,2120,120,100,33.6,0.5,64,0,Run,Forward,Auto,Auto 4,Off,Off,Off,On,489,0,FaultFNRP20,F1,Err-Unknown,Off,Released,Off,Depressed,4,16,79,42,28.2,2016-11-11 13:55:49.028650,2016-11-11 13:55:49.028660
40209,1162907732.5088,1162907732.5088,9539,0,0,0,99.6,1661.5,2120,116,100,29.35,1,185,0,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1239,0,FaultFNRP20,R1,Err-Unknown,Off,Released,Off,Depressed,1,12,79,47,28.2,2016-11-11 13:55:51.508800,2016-11-11 13:55:51.508800
40212,1162907734.40891,1162907734.40891,9542,0,0,0,86,1080.5,2120,35.5,40,47.15,0,0,0,Neutral,Reverse,Auto,Auto 4,Off,Off,Off,On,1196,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Depressed,3101,3268,79,47,28.2,2016-11-11 13:55:53.408910,2016-11-11 13:55:53.408910
40215,1162907736.34935,1162907736.34935,9545,0,0,0,99.2,1827.5,2120,111.5,99,26.5,2,200,0,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,1198,0,FaultFNRP20,R1,Err-Unknown,Off,Released,Off,Depressed,94,132,79,47,28.2,2016-11-11 13:55:55.349350,2016-11-11 13:55:55.349350
40218,1162907738.28935,1162907738.28935,9548,0,0,0,99.6,1955,2120,107,59,24.7,4.5,455,0,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,2103,0,FaultFNRP20,R2,Err-Unknown,Off,Released,Off,Depressed,0,13,79,47,28.1,2016-11-11 13:55:57.289350,2016-11-11 13:55:57.289350
40221,1162907740.26936,1162907740.26936,9551,0,0,0,28.8,1587.5,1006,64.5,0,0,5.5,543,0,Neutral,Reverse,Auto,Auto 4,Off,Off,Off,On,1520,0,FaultFNRP20,N2,Err-Unknown,Off,Released,Off,Released,885,873,79,47,28.2,2016-11-11 13:55:59.269360,2016-11-11 13:55:59.269360
40223,1162907741.50948,1162907741.50948,9553,0,0,0,93.6,1381,2120,29.5,18,33,1.5,157,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,1453,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Depressed,2114,2170,79,47,28.2,2016-11-11 13:56:00.509480,2016-11-11 13:56:00.509480
40226,1162907743.40945,1162907743.40945,9556,0,0,0,99.6,2115,2120,115.5,100,20.8,3,298,0,Run,Forward,Auto,Auto 4,Off,Off,Off,On,2090,0,FaultFNRP20,F1,Err-Unknown,Off,Released,Off,Depressed,95,106,79,44,28.2,2016-11-11 13:56:02.409450,2016-11-11 13:56:02.409450
40229,1162907745.2697,1162907745.2697,9559,0,0,0,99.6,1962.5,2120,69.5,70,24.1,4,387,0,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1665,0,FaultFNRP20,F2,Err-Unknown,Off,Released,Off,Depressed,10,30,79,45,28.2,2016-11-11 13:56:04.269700,2016-11-11 13:56:04.269700
40232,1162907747.16991,1162907747.16991,9562,0,0,0,24.8,1086.5,1006,31,12,12.45,6,597,0,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1233,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Released,1,16,79,47,28.2,2016-11-11 13:56:06.169910,2016-11-11 13:56:06.169910
40235,1162907749.11002,1162907749.11002,9565,0,0,0,99.6,1714.5,2120,102.5,100,28.5,8,805,55.7,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1617,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Depressed,4,23,79,47,28.2,2016-11-11 13:56:08.110020,2016-11-11 13:56:08.110020
40238,1162907751.01011,1162907751.01012,9568,0,0,0,99.6,2116,2120,114.5,88,21.6,10,970,0,Run,Forward,Auto,Auto 4,Off,Off,Off,On,2088,0,FaultFNRP20,F4,Err-Unknown,Off,Released,Off,Depressed,5,22,79,47,28.2,2016-11-11 13:56:10.010110,2016-11-11 13:56:10.010120
40242,1162907753.57013,1162907753.57013,9572,0,0,0,99.6,1489.5,2120,121.5,100,33.15,12,1219,80,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1507,0,FaultFNRP20,F4,Err-Unknown,Off,Released,Off,Depressed,4,24,79,47,28.2,2016-11-11 13:56:12.570130,2016-11-11 13:56:12.570130
40245,1162907755.47028,1162907755.47028,9575,0,0,0,99.6,1685,2120,123,100,28.85,14,1374,55.7,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1702,0,FaultFNRP20,F4,Err-Unknown,Off,Released,Off,Depressed,8,25,79,47,28.1,2016-11-11 13:56:14.470280,2016-11-11 13:56:14.470280
40246,1162907756.09047,1162907756.09047,9576,0,0,0,99.6,1766.5,2120,125,100,27.65,14.5,1447,55.7,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1780,0,FaultFNRP20,F4,Err-Unknown,Off,Released,Off,Depressed,4,22,79,47,28.2,2016-11-11 13:56:15.090470,2016-11-11 13:56:15.090470
40250,1162907758.65074,1162907758.65074,9580,0,0,0,81.2,1767.5,2012,71.5,93,27.1,14.5,1448,55.7,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1738,0,FaultFNRP20,F4,Err-Unknown,Off,Released,Off,Depressed,4,21,79,48,28.1,2016-11-11 13:56:17.650740,2016-11-11 13:56:17.650740
40253,1162907760.51085,1162907760.51085,9583,0,0,0,33.6,1795.5,1170.5,29.5,0,0,15,1412,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,1798,0,FaultFNRP20,F4,Err-Unknown,Off,Released,Off,Released,798,779,79,47,28.2,2016-11-11 13:56:19.510850,2016-11-11 13:56:19.510850
40256,1162907762.4112,1162907762.41121,9586,0,0,0,89.2,1797,2120,35.5,63,26.15,13,1326,0,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1675,0,FaultFNRP20,F4,Err-Unknown,Off,Released,Off,Depressed,103,144,79,47,28.2,2016-11-11 13:56:21.411200,2016-11-11 13:56:21.411210
40259,1162907764.35124,1162907764.35125,9589,0,0,0,87.2,1750.5,2120,58.5,30,26.95,14.5,1402,55.7,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1710,0,FaultFNRP20,F4,Err-Unknown,Off,Released,Off,Depressed,4,25,79,49,28.2,2016-11-11 13:56:23.351240,2016-11-11 13:56:23.351250
40262,1162907766.29131,1162907766.29131,9592,0,0,0,99.2,1890.5,2120,123.5,100,25.55,15.5,1547,55.7,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1924,0,FaultFNRP20,F4,Err-Unknown,Off,Released,Off,Depressed,4,19,79,47,28.2,2016-11-11 13:56:25.291310,2016-11-11 13:56:25.291310
40265,1162907768.2714,1162907768.2714,9595,0,0,0,67.6,2014.5,1715,112.5,92,0,16.5,1618,55.7,Run,Forward,Auto,Auto 4,Off,Off,Off,On,2062,0,FaultFNRP20,F4,Err-Unknown,Off,Released,Off,Depressed,9,145,79,48,28.2,2016-11-11 13:56:27.271400,2016-11-11 13:56:27.271400
40268,1162907770.21142,1162907770.21143,9598,0,0,0,38.8,1111,1247.5,20.5,17,17.8,15,1465,0,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1790,0,FaultFNRP20,F4,Err-Unknown,Off,Released,Off,Released,388,573,79,49,28.2,2016-11-11 13:56:29.211420,2016-11-11 13:56:29.211430
40270,1162907771.45158,1162907771.45159,9600,0,0,0,38,1726,1203,37.5,12,0,14.5,1366,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,1984,0,FaultFNRP20,N3,Err-Unknown,Off,Released,Off,Released,694,1276,79,49,28.2,2016-11-11 13:56:30.451580,2016-11-11 13:56:30.451590
40273,1162907773.3916,1162907773.3916,9603,0,0,0,32,1215,1080.5,17.5,0,4.75,9.5,887,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,1152,0,FaultFNRP20,N3,Err-Unknown,Off,Depressed,Off,Released,1499,1695,79,49,28.2,2016-11-11 13:56:32.391600,2016-11-11 13:56:32.391600
40276,1162907775.29179,1162907775.29179,9606,0,0,0,38.8,1217.5,1238.5,16.5,28,20.9,5,458,0,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1093,0,FaultFNRP20,F2,Err-Unknown,Off,Released,Off,Released,459,649,79,50,28.2,2016-11-11 13:56:34.291790,2016-11-11 13:56:34.291790
40279,1162907777.19196,1162907777.19197,9609,0,0,0,79.6,1659.5,1986,69.5,67,29.1,4,408,80,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1659,0,FaultFNRP20,F2,Err-Unknown,Off,Released,Off,Depressed,102,137,79,47,28.3,2016-11-11 13:56:36.191960,2016-11-11 13:56:36.191970
40282,1162907779.132,1162907779.132,9612,0,0,0,99.2,2135,2120,114.5,79,20.8,5.5,499,0,Run,Forward,Auto,Auto 4,Off,Off,Off,On,2070,0,FaultFNRP20,F2,Err-Unknown,Off,Released,Off,Depressed,13,29,79,44,28.2,2016-11-11 13:56:38.132000,2016-11-11 13:56:38.132000
40285,1162907781.0321,1162907781.0321,9615,0,0,0,99.6,1730,2120,125.5,100,28.05,7,688,30.3,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1536,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Depressed,5,26,79,47,28.2,2016-11-11 13:56:40.032100,2016-11-11 13:56:40.032100
40289,1162907783.63238,1162907783.63239,9619,0,0,0,99.6,1810,2120,120.5,100,26.85,8.5,843,55.7,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1853,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Depressed,6,27,79,49,28.2,2016-11-11 13:56:42.632380,2016-11-11 13:56:42.632390
40292,1162907785.57262,1162907785.57263,9622,0,0,0,99.6,1889,2120,119,100,25.65,9,883,55.7,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1914,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Depressed,7,25,79,43,28.2,2016-11-11 13:56:44.572620,2016-11-11 13:56:44.572630
40295,1162907787.47265,1162907787.47265,9625,0,0,0,99.6,1870,2120,120,100,25.9,9,859,55.7,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1962,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Depressed,2,15,79,41,28.2,2016-11-11 13:56:46.472650,2016-11-11 13:56:46.472650
40296,1162907788.09263,1162907788.09263,9626,0,0,0,99.6,1847.5,2120,120,100,26.25,8.5,854,55.7,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1871,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Depressed,13,17,79,40,28.2,2016-11-11 13:56:47.092630,2016-11-11 13:56:47.092630
40300,1162907790.61267,1162907790.61268,9630,0,0,0,96.8,1757.5,2120,122,100,27.65,8,806,55.7,Run,Forward,Auto,Auto 4,Off,Off,Off,On,1724,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Depressed,96,298,79,44,28.2,2016-11-11 13:56:49.612670,2016-11-11 13:56:49.612680
40303,1162907792.51572,1162907792.51573,9633,0,0,0,37.6,1290.5,1192.5,52,30,22.2,6,592,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,1191,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Released,559,890,79,45,28.2,2016-11-11 13:56:51.515720,2016-11-11 13:56:51.515730
40306,1162907794.45321,1162907794.45322,9636,0,0,0,11.6,858,800,23,35,52.95,2.5,218,0,Run,Forward,Auto,Auto 4,Off,Off,Off,On,447,0,FaultFNRP20,F3,Err-Unknown,Off,Released,Off,Released,542,743,79,47,28.2,2016-11-11 13:56:53.453210,2016-11-11 13:56:53.453220
40309,1162907796.35332,1162907796.35332,9639,0,0,0,29.2,781.5,800,9,18,47.75,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,746,0,FaultFNRP20,N3,Err-Unknown,Off,Depressed,Off,Released,1461,1686,79,47,28.2,2016-11-11 13:56:55.353320,2016-11-11 13:56:55.353320
40312,1162907798.29342,1162907798.29343,9642,0,0,0,9.6,746.5,800,5.5,13,53.7,0.5,48,0,Run,Reverse,Auto,Auto 4,Off,Off,Off,On,44,0,FaultFNRP20,R3,Err-Unknown,Off,Released,Off,Released,0,1,79,47,27.8,2016-11-11 13:56:57.293420,2016-11-11 13:56:57.293430
40315,1162907800.1934,1162907800.1934,9645,0,0,0,0.4,827.5,800,5,18,39.9,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,758,0,FaultFNRP20,N3,Err-Unknown,Off,Depressed,Off,Released,1777,1984,79,47,28.2,2016-11-11 13:56:59.193400,2016-11-11 13:56:59.193400
40318,1162907802.09359,1162907802.0936,9648,0,0,0,0,802,800,5,16,42.15,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,758,0,FaultFNRP20,N2,Err-Unknown,Off,Depressed,Off,Released,1906,2112,79,47,28.2,2016-11-11 13:57:01.093590,2016-11-11 13:57:01.093600
40320,1162907803.33378,1162907803.33379,9650,0,0,0,0,831.5,800,4.5,10,33.5,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,785,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Released,1973,2177,79,47,28.2,2016-11-11 13:57:02.333780,2016-11-11 13:57:02.333790
40323,1162907805.19376,1162907805.19376,9653,0,0,0,0,796.5,800,3.5,9,37.4,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,752,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Released,2037,2230,79,47,28.2,2016-11-11 13:57:04.193760,2016-11-11 13:57:04.193760
40326,1162907807.09401,1162907807.09401,9656,0,0,0,0,798.5,800,3,10,37.05,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,751,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Released,1960,2158,79,47,28.2,2016-11-11 13:57:06.094010,2016-11-11 13:57:06.094010
40330,1162907809.57433,1162907809.57433,9660,0,0,0,0,799,800,2.5,9,36.8,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,751,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Released,1978,2183,79,47,28.2,2016-11-11 13:57:08.574330,2016-11-11 13:57:08.574330
40333,1162907811.47418,1162907811.47418,9663,0,0,0,0,800,800,2.5,9,36.8,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,750,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Released,2035,2230,79,47,28.2,2016-11-11 13:57:10.474180,2016-11-11 13:57:10.474180
40336,1162907813.37432,1162907813.37432,9666,0,0,0,0,799.5,800,2.5,9,36.95,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,750,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Released,2025,2223,79,47,28.2,2016-11-11 13:57:12.374320,2016-11-11 13:57:12.374320
40339,1162907815.27448,1162907815.27448,9669,0,0,0,0,799,800,3,9,36.95,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,750,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Released,1837,2029,79,47,28.2,2016-11-11 13:57:14.274480,2016-11-11 13:57:14.274480
40342,1162907817.21461,1162907817.21461,9672,0,0,0,0,798.5,800,2.5,9,37.05,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,750,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Released,1826,2022,79,47,28.2,2016-11-11 13:57:16.214610,2016-11-11 13:57:16.214610
40344,1162907818.53488,1162907818.53488,9674,0,0,0,0,798,800,3,9,37.05,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,750,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Released,1835,2030,79,47,28.2,2016-11-11 13:57:17.534880,2016-11-11 13:57:17.534880
40347,1162907820.43483,1162907820.43483,9677,0,0,0,0,799,800,3,9,36.95,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,751,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Released,1790,1984,79,47,28.2,2016-11-11 13:57:19.434830,2016-11-11 13:57:19.434830
40350,1162907822.33507,1162907822.33507,9680,0,0,0,0,799.5,800,3,9,36.7,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,749,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Released,1758,1951,79,47,28.2,2016-11-11 13:57:21.335070,2016-11-11 13:57:21.335070
40353,1162907824.31519,1162907824.31519,9683,0,0,0,0,799,800,3,9,36.95,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,750,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Released,1755,1947,79,47,28.2,2016-11-11 13:57:23.315190,2016-11-11 13:57:23.315190
40356,1162907826.21513,1162907826.21513,9686,0,0,0,0,798.5,800,3,9,37.05,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,750,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Released,1752,1949,79,47,28.2,2016-11-11 13:57:25.215130,2016-11-11 13:57:25.215130
40359,1162907828.15532,1162907828.15532,9689,0,0,0,0,799,800,2.5,9,36.6,0,0,0,Neutral,Forward,Auto,Auto 4,Off,Off,Off,On,749,0,FaultFNRP20,N1,Err-Unknown,Off,Depressed,Off,Released,1753,1951,79,47,28.2,2016-11-11 13:57:27.155320,2016-11-11 13:57:27.155320
